"EDR128641";"Textus secundum (1) "
"EDR128642";"Textus secundum (1) "
"EDR128643";"Textus secundum (1) <br>v.1: (N)ugul(us?) (1) "
"EDR128644";"Textus secundum (1) "
"EDR128645";"Textus secundum (1) "
"EDR128647";"Textus secundum (1) "
"EDR128648";"Textus secundum (1) "
"EDR128649";"Textus secundum (1) "
"EDR128650";"Textus secundum (1) "
"EDR128738";"Textus secundum (1), periit (2)"
"EDR128751";"Textus secundum (1)"
"EDR128754";"Textus secundum (1)"
"EDR128759";"Textus secundum (1)"
"EDR128760";"Textus secundum (1)<br>v.1 (col. I): Inscription presents V with a vertical line through it."
"EDR127420";"Textus secundum (1)"
"EDR127422";"Textus secundum (1)"
"EDR127844";"Textus secundum (1)<br>"
"EDR127976";"Textus secundum (1)"
"EDR127981";"Textus secundum (1)<br>v.1: Popiu(s) pro Popi(di)u(s)? (CIL ad loc.)"
"EDR128284";"Textus secundum (2)<br>v.1-2: ""Provi/de miles"" (Marichal, given in Varone); ""Pacqui/a /de nsie"" (CIL ad loc.) "
"EDR128285";"Textus secundum (1)<br>"
"EDR128287";"Textus secundum (1)<br>v.1: ""R"" is backwards"
"EDR128291";"Textus secundum (1)<br>v.1 trade vel trado (1)"
"EDR128292";"Textus secundum (1)"
"EDR128293";"Textus secundum (1)"
"EDR128563";"Textus secundum (1)<br>v.1: (orbiculis additis postea) (2)"
"EDR128746";"Textus secundum (1)<br>v.1: Amentius? (CIL ad loc.)<br>eum ita corrupit, ut nullo modo legi possit (2)"
"EDR128747";"Textus secundum (1)<br>v.1 poma vel Pomp[ei---?]"
"EDR128749";"Textus secundum (1)"
"EDR128750";"Textus secundum (1)"
"EDR128756";"Textus secundum (1)"
"EDR128758";"Textus secundum (1)"
"EDR128762";"Textus secundum (1)"
"EDR128769";"Textus secundum (1)<br>v.1: Virum bonum vel Viros bonos? (1)<br>"
"EDR128770";"Textus secundum (1)"
"EDR128772";"Textus secundum (1)"
"EDR128773";"Textus secundum (2)"
"EDR128774";"Textus secundum (2)<br>v.1: CIL reads POGGAC"
"EDR128775";"Textus secundum (1)<br>v.1: Iannu pro Ianu(arius)?"
"EDR128776";"Textus secundum (1)"
"EDR128777";"Textus secundum (1)<br>v.4: E is represented as II."
"EDR128778";"Textus secundum (1)<br>v.1: Par(is)?<br>v.2: puel[l]ar(um amator) nili, pro nihili? (1) "
"EDR128779";"Textus secundum (1)<br>v.1: Titulus postea linea inducta deletus. The letter ""E"" is written as II."
"EDR127849";"Textus secundum (1), periit (2)<br>v.1 suu(m?) [munus] vel [instrumentum]? (1)<br>v.3 Alunt(us) vel Acunti(us?)"
"EDR128673";"Textus secundum (1), periit (2)"
"EDR127423";"Textus secundum (1)"
"EDR127821";"Textus secundum (1)"
"EDR127822";"Textus secundum (1)"
"EDR127826";"Textus secundum (1)"
"EDR127827";"Textus secundum (1)<br>"
